Redness,Yellowness,Mass,Volume,Class
4.81647192,2.347954131,125.5081887,25.01441448,1
4.327248484,3.322961013,118.4265761,19.07534923,2
2.767383287,3.35306132,109.9686848,33.53736754,3
2.96196981,4.124945379,159.2573359,29.00903658,3
5.655719195,1.706671017,147.0695171,39.3056532,1
3.179535848,4.59212901,152.9808208,26.32332312,3
2.913569239,4.332490824,103.8095773,29.03893695,3
2.036317606,4.879481355,125.8775247,18.21010359,4
1.988471396,4.858513508,123.1716785,11.33740009,4
5.978142252,1.614727596,92.29046425,23.34307333,1
3.152065137,3.624983091,160.3336927,22.16979113,3
3.342597198,2.686956947,165.2067911,23.80756443,2
2.830224316,2.855972445,164.0739539,23.88596519,3
3.341356595,4.235781415,161.8984033,26.44491764,3
2.19829803,5.021780372,108.3417131,10.16897095,4
2.254826184,4.87317193,121.691259,19.59364834,4
4.47515185,3.221393309,130.9618474,22.953754,2
2.839322834,3.537437355,139.0571794,18.98259719,3
2.434427182,3.695151332,77.46033258,18.84783548,3
2.089759552,5.119400088,134.3858362,12.46034174,4
3.907769069,2.969003433,178.6740901,19.56687622,2
4.304058394,2.830823202,109.1177906,23.20684498,2
4.520734995,1.952153464,154.8767495,28.09376825,1
3.78622978,3.34969428,192.46922,23.78334129,2
3.783642608,3.111092276,90.33850301,26.40557436,2
5.070495611,1.712300758,157.7696905,30.3858012,1
3.194536429,3.959291911,100.9460882,25.88882187,3
4.875585488,1.533052696,98.18347849,27.04594411,1
2.05468466,4.832792025,115.9702038,12.56495661,4
2.215520587,5.09655126,116.6747195,11.58299217,4
4.247633673,3.16004055,78.28142283,18.58234278,2
4.986564753,2.095671927,98.63900139,25.33096526,1
5.011283867,1.775697371,197.3904936,36.29369997,1
2.100499472,5.107245912,115.1955559,12.81276655,4
5.655201533,2.405153168,148.2890441,38.68446839,1
2.192431219,3.828100198,117.2299287,17.27379786,3
3.468423223,4.484567251,179.381241,24.58548873,3
2.910482814,4.798208338,130.4372121,27.37682477,3
1.788102949,4.813641196,131.6070396,14.50520639,4
1.706922845,5.030261975,123.4123639,15.51771155,4
